state,source,window_from,window_to,license,event,name,city,last_status,issued,detail,relicense_of,nonresident
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004071,relist,SPECTRUM SOLUTIONS RX,DRAPER,,2022-04-29,issued=2022-04-29,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004085,relist,ACCREDO HEALTH GROUP INC,WHITESTOWN,,2022-05-04,issued=2022-05-04,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004089,relist,WOOD DALE PHARMACY,WOOD DALE,,2022-05-09,issued=2022-05-09,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004103,relist,ST. LUKE'S ROOSEVELT HOSPITAL CENTER,NEW YORK,,2022-06-30,issued=2022-06-30,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004171,relist,MEDROCK TN LLC,CHATTANOOGA,,2023-06-20,issued=2023-06-20,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004212,relist,ALTRUIX,TREVOSE,,2023-11-21,issued=2023-11-21,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004222,relist,SBH MEDICAL LTD,COLUMBUS,,2024-08-28,issued=2024-08-28,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004227,relist,MONTEFIORE COMMUNITY PHARMACY @ MOSES,BRONX,,2023-08-24,issued=2023-08-24,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004229,relist,MEDMETRICS PHARMACY LLC,CHANDLER,,2025-05-01,issued=2025-05-01,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004230,relist,THE MOUNT SINAI HOSPITAL,NEW YORK,,2023-08-24,issued=2023-08-24,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004240,relist,CLASSIC COMPOUNDING PHARMACY LLC,YORK,,2023-09-28,issued=2023-09-28,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004264,relist,THE MOUNT SINAI HOSPITAL,NEW YORK,,2023-10-26,issued=2023-10-26,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004273,relist,"PRIMERA COMPOUNDING, LLC",SUGAR LAND,,2024-06-18,issued=2024-06-18,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004304,relist,AHMA RX,GARFIELD,,2024-08-28,issued=2024-08-28,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004308,relist,"JKR PHARMACY VENTURES, LLC",LEXINGTON,,2024-05-02,issued=2024-05-02,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004311,relist,PHARMA GROUP SELECT LLC,COLUMBIA,,2024-04-26,issued=2024-04-26,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004339,relist,WALGREENS GENE & CELL SERVICES #21574,PITTSBURGH,,2024-06-27,issued=2024-06-27,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004374,relist,"LT PHARMACY BUYER, LLC",HIGHLAND VILLAGE,,2024-10-31,issued=2024-10-31,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004418,relist,RARE SPECIALTY PHARMACY,RAHWAY,,2025-03-10,issued=2025-03-10,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004439,relist,NORTHWEST COMPOUNDERS LLC,BEAVERTON,,2025-05-01,issued=2025-05-01,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004448,relist,SHADY GROVE PHARMACY,ROCKVILLE,,2025-05-29,issued=2025-05-29,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004456,relist,HEARTWELL SPECIALTY PHARMACY CORP,JAMAICA,,2025-11-20,issued=2025-11-20,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004467,relist,AMRX LLC,DALLAS,,2025-09-25,issued=2025-09-25,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004474,relist,SPECIALTY CARE RX LLC,MEMPHIS,,2026-03-26,issued=2026-03-26,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004478,relist,"WALGREENS SPECIALTY PHARMACY, LLC",PITTSBURGH,,2025-11-26,issued=2025-11-26,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004493,relist,12PHARMA LLC,GAITHERSBURG,,2026-04-30,issued=2026-04-30,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004519,relist,PRECISION PHARMA CORP,JUPITER,,2026-03-26,issued=2026-03-26,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004534,relist,BY BLEND LLC,COLUMBUS,,2025-11-07,issued=2025-11-07,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004535,relist,PHARMPEDIA LLC,FAIRFAX,,2026-04-30,issued=2026-04-30,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004545,relist,ST. LUKE COMPOUNDING PHARMACY,NEW PORT RICHEY,,2025-11-03,issued=2025-11-03,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004561,appear,PREMIUM HEALTH CARE PHARMACY,MIAMI,,2026-05-28,issued=2026-05-28,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004562,relist,OAKDELL COMPOUNDING PHARMACY LLC,SAN ANTONIO,,2026-03-26,issued=2026-03-26,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004582,relist,OUTPATIENT PHARMACY CORP,ROCHELLE PARK,,2025-11-20,issued=2025-11-20,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004593,appear,DPR PHARMACY,MIAMI LAKES,,2026-05-28,issued=2026-05-28,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004596,relist,SEACREST PHARMACY,BOYNTON BEACH,,2026-03-16,issued=2026-03-16,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004609,appear,INTEGRISCRIPT INC,WEST SPRINGFIELD,,2026-05-28,issued=2026-05-28,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004613,relist,BUDERER DRUG COMPANY INC,PERRYSBURG,,2026-01-29,issued=2026-01-29,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004646,relist,ROMAT VENTURES INC,THONOTOSASSA,,2026-04-30,issued=2026-04-30,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004663,relist,H&H PHARMACY LLC,BRENTWOOD,,2026-04-30,issued=2026-04-30,,Y
CT*,pharm-ct-out,2026-08-08,2026-08-15,PCN.0004669,appear,DOMA RX INC,FOREST HILLS,,2026-05-28,issued=2026-05-28,,Y
DE,pharm-de,2026-08-08,2026-08-15,A4-0013354,appear,Ameripharm Inc dba Medvantx Pharmacy Services,SIOUX FALLS,,2026-08-07,issued=2026-08-07,,Y
DE,pharm-de,2026-08-08,2026-08-15,A4-0013355,appear,"Premier Rx Wholesale, LLC",BRYAN,,2026-08-13,issued=2026-08-13,,Y
DE,pharm-de,2026-08-08,2026-08-15,A9-0013369,appear,Apteek Rx LLC,MCKINNEY,,2026-08-13,issued=2026-08-13,,Y
DE,pharm-de,2026-08-08,2026-08-15,A9-0001143,status_change,"Accredo Health Group, Inc",FRANKLIN,,2012-08-03,Active -> Closed,,Y
DE,pharm-de,2026-08-08,2026-08-15,A9-0002020,name_change,Pharma Buddies Corp,ORLANDO,,2017-06-19,Rosemont Specialty Pharmacy dba Pharma Buddies Corp -> Pharma Buddies Corp,,Y
DE,pharm-de,2026-08-08,2026-08-15,A9-0012563,status_change,Apteek Rx LLC,MCKINNEY,,2020-10-28,Active -> Closed,,Y
DE,pharm-de,2026-08-08,2026-08-15,A9-0013311,name_change,"South Walton Pharmacy, LLC dba PHARMA FUSION",LAKE CHARLES,,2026-03-04,"South Walton Pharmacy, LLC dba SANTA ROSA PHARMACY -> South Walton Pharmacy, LLC dba PHARMA FUSION",,Y
RI,pharm-ri,2026-08-08,2026-08-15,PHA00710,appear,CASMER PHARMACY,EAST GREENWICH,,2026-08-12,issued=2026-08-12,,
RI,pharm-ri,2026-08-08,2026-08-15,PHN12911,appear,ARCHWAY APOTHECARY,PONCHATOULA,,2026-08-07,issued=2026-08-07,,Y
RI,pharm-ri,2026-08-08,2026-08-15,PHN12463,name_change,NUFACTOR  INC.,RONKONKOMA,,2023-11-17,FFF ENTERPRISES DBA NUFACTOR INC -> NUFACTOR  INC.,,Y
