state,source,window_from,window_to,license,event,name,city,last_status,issued,detail,relicense_of,nonresident,chain
WV,pharm-wv,2026-09-19,2026-09-26,EP0553440,disappear,ResCare-East View Group Home,Terra Alta,Active,,last_status=Active,,,other
WV,pharm-wv,2026-09-19,2026-09-26,MO0562376,disappear,"ReShapeRx Houston, LLC",Houston,Active,,last_status=Active,,Y,other
WV,pharm-wv,2026-09-19,2026-09-26,MO0562343,appear,"Vidrine Pharmaceutical Group, LLC",Lake Charles,,,,,Y,other
WV,pharm-wv,2026-09-19,2026-09-26,MO0562397,appear,GEISINGER PHARMACY LLC,Elysburg,,,,,Y,other
