lic,first_seen,last_seen,still_listed,reappeared_ever,last_status,name,city,state,county,class,ownership
33724,2021-04-26,2026-08-08,True,False,Expired Pharm,GNO PHARMACY,MARRERO,LA,JEFFERSON,Non-Resident (Not Located in Texas),LLC
33747,2021-09-05,2026-08-08,True,False,Active,CVS/SPECIALTY OR CARELONRX SPECIALTY PHARMACY,MILFORD,MA,WORCESTER,Non-Resident (Not Located in Texas),LLC
33765,2021-09-05,2026-08-08,True,False,Active,KINNEY DRUGS CF,GOUVERNEUR,NY,ST. LAWRENCE,Non-Resident (Not Located in Texas),Corporation
33816,2021-09-05,2026-08-08,True,False,Active,GLENDALE PHARMACY,SAN ANTONIO,TX,BEXAR,Community Pharmacy,LLC
33827,2021-09-05,2022-05-24,False,False,Active,MANIFEST PHARMACY,GREER,SC,GREENVILLE,Non-Resident (Not Located in Texas),LLC
33886,2021-09-05,2025-07-01,False,False,Active,HARNESS HEALTH PHARMACY,MASON,OH,WARREN,Non-Resident (Not Located in Texas),LLC
33938,2021-09-05,2026-08-08,True,False,Active,SOLARA MEDICAL SUPPLIES LLC,CHULA VISTA,CA,SAN DIEGO,Non-Resident (Not Located in Texas),LLC
33959,2021-09-15,2022-05-24,False,False,Active,PIONEER PKWY PHARMACY,GRAND PRAIRIE,TX,DALLAS,Community Pharmacy,Corporation
33968,2021-11-15,2026-08-08,True,False,Active,VITAL CARE INFUSION SERVICES,SAN ANGELO,TX,TOM GREEN,Community Sterile Compounding,LLC
34017,2021-11-15,2022-05-24,False,False,Active,"HOMETOWN WELLNESS PHARMACY, INC",EAGLE PASS,TX,MAVERICK,Community Pharmacy,Corporation
34043,2021-11-15,2022-03-05,False,False,Active,SSRX CENTRAL PROCESSING,BELLAIRE,TX,HARRIS,Central Processing Pharmacy,LLC
34069,2022-01-04,2022-09-05,False,False,Active,LONE STAR ENDOSCOPY,AUSTIN,TX,TRAVIS,Institutional (Hospital),LLC
34190,2022-05-24,2026-08-08,True,False,Expired Pharm,SCRIPTWORKS PHARMACY,SUGAR LAND,TX,FORT BEND,Community Pharmacy,LLC
34230,2022-05-24,2022-09-05,False,False,Active,CARENOW PHARMACY,CARROLLTON,TX,DENTON,Community Pharmacy,LLC
34275,2022-05-24,2024-09-04,False,False,Active,LEGENT INSTITUTE FOR SPECIALIZED SURGERY,CONROE,TX,MONTGOMERY,Institutional (Hospital),LLC
34314,2022-09-05,2023-07-12,False,False,Active,TOTAL PHARMACY CENTER ONE,RICHMOND,TX,FORT BEND,Community Pharmacy,Corporation
34338,2022-09-05,2026-08-08,True,False,Active,COASTAL BEND WELLNESS PHARMACY,CORPUS CHRISTI,TX,NUECES,Community Pharmacy,Corporation
34342,2022-09-05,2026-08-08,True,False,Active,ISORX CYCLOTRON CENTER,LUBBOCK,TX,LUBBOCK,Nuclear Pharmacy,Partnership
34400,2022-09-05,2026-08-08,True,False,Active,VETSOURCE HOME DELIVERY,HARRISBURG,PA,DAUPHIN,Non-Resident (Not Located in Texas),Corporation
34403,2022-09-05,2026-08-08,True,False,Active,RAPIDCARE EMERGENCY ROOM,MISSOURI CITY,TX,FORT BEND,Freestanding EMC,LLC
34438,2023-03-06,2026-08-08,True,False,Active,PILL CRAFT PHARMACY,STAFFORD,TX,FORT BEND,Community Pharmacy,LLC
34516,2023-03-06,2026-08-08,True,False,Active,LIBERTY RX PHARMACY LLC,STAFFORD,TX,FORT BEND,Community Sterile Compounding,LLC
34600,2023-03-06,2026-08-08,True,False,Active,PERSONALIZED SKIN SOLUTIONS INC,IMPERIAL,PA,ALLEGHENY,Non-Resident (Not Located in Texas),Corporation
34640,2023-05-01,2025-07-01,False,False,Expired Pharm,QUALITYHEALTH PHARMACY,CHERRY HILL,NJ,CAMDEN,Non-Resident (Not Located in Texas),LLC
34694,2023-05-01,2026-08-08,True,False,Active,HAPPY HOOVES FAMILY PHARMACY,KERRVILLE,TX,KERR,Community Pharmacy,Corporation
34829,2023-08-08,2026-08-08,True,False,Active,OPTIMAL BALANCE PHARMACY LLC,HOUSTON,TX,HARRIS,Community Sterile Compounding,LLC
34852,2023-09-05,2026-08-08,True,False,Active,ER OF MESQUITE,MESQUITE,TX,DALLAS,Freestanding EMC,LLC
34904,2023-09-05,2026-08-08,True,False,Active,WALGREENS #21501,MABANK,TX,KAUFMAN,Community Pharmacy,Corporation
35046,2024-03-07,2026-08-08,True,False,Active,DC ALL CARE PHARMACY,MANVEL,TX,BRAZORIA,Community Pharmacy,LLC
35050,2024-03-07,2026-08-08,True,False,Active,HEB PHARMACY #801,FORT WORTH,TX,TARRANT,Community Pharmacy,Partnership
35134,2024-03-07,2024-09-04,False,False,Active,FARMACIA CENTRAL RX # 2203,VICTORIA,TX,VICTORIA,Clinic,LLC
35154,2024-03-07,2024-09-04,False,False,Active,FARMACIA CENTRAL RX # 11045,HOUSTON,TX,HARRIS,Clinic,LLC
35177,2024-03-07,2024-09-04,False,False,Active,FARMACIA CENTRAL RX # 737,HOUSTON,TX,HARRIS,Clinic,LLC
35208,2024-03-07,2024-09-04,False,False,Active,FARMACIA CENTRAL RX # 11135,HOUSTON,TX,HARRIS,Clinic,LLC
35214,2024-03-07,2026-08-08,True,False,Active,"HCA HOUSTON E/R 24/7, A DEPARTMENT OF HCA HOUSTON HEALTHCARE WES",HOUSTON,TX,HARRIS,Freestanding EMC,Partnership
35227,2024-03-07,2026-08-08,True,False,Active,"HCA HOUSTON E/R 24/7, A DEPARTMENT OF HCA HOUSTON HEALTHCARE WES",HOUSTON,TX,HARRIS,Freestanding EMC,Partnership
35258,2024-03-07,2026-08-08,True,False,Active,"NOBLESVILLE LOW COST PHARMACY, LLC",NOBLESVILLE,IN,HAMILTON,Non-Resident (Not Located in Texas),LLC
35304,2024-06-14,2026-08-08,True,False,Active,LEE SILSBY COMPOUNDING PHARMACY LLC,BEACHWOOD,OH,CUYAHOGA,Non Resident Sterile Compounding,LLC
35464,2024-09-03,2026-08-08,True,False,Active,MESILLA VALLEY PHARMACY & CONSULTING,LAS CRUCES,NM,DONA ANA,Non-Resident (Not Located in Texas),Corporation
35497,2025-03-18,2026-08-08,True,False,Active,PRIMA,NEW YORK,NY,NEW YORK,Non-Resident (Not Located in Texas),LLC
35586,2025-03-18,2025-07-01,False,False,Active,RICHARDSON SURGERY CENTER,RICHARDSON,TX,DALLAS,Institutional (Hospital),LLC
35594,2025-03-18,2026-08-08,True,False,Active,CANNERY PHARMACY SERVICES,LINDALE,TX,SMITH,Community Sterile Compounding,LLC
35613,2025-03-18,2026-08-08,True,False,Active,GREEN STONE RX,MIAMI,FL,MIAMI-DADE,Non Resident Sterile Compounding,LLC
35649,2025-03-18,2026-08-08,True,False,Active,UT HEALTH SAN ANTONIO MAYS CANCER CENTER PHARMACY,SAN ANTONIO,TX,BEXAR,Community Sterile Compounding,Government
35660,2025-03-18,2026-08-08,True,False,Active,WEST 35TH APOTHECARY LLC,NEW YORK,NY,NEW YORK,Non-Resident (Not Located in Texas),LLC
35680,2025-04-18,2026-08-08,True,False,Active,BAYLOR SCOTT & WHITE INSTITUTE FOR REHABILITATION - TEMPLE,TEMPLE,TX,BELL,Institutional (Hospital),LLC
35700,2025-04-18,2025-07-01,False,False,Active,SOWAL HEALTH & DRUG,MIRAMAR BEACH,FL,WALTON,Non-Resident (Not Located in Texas),Corporation
35744,2025-06-11,2026-08-08,True,False,Active,FARMACIA CENTRAL RX #3815,PORT ARTHUR,TX,JEFFERSON,Clinic,LLC
35762,2025-07-01,2026-08-08,True,False,Active,MCALLEN EMERGENCY ROOM,MCALLEN,TX,HIDALGO,Freestanding EMC,LLC
35819,2026-08-08,2026-08-08,True,False,Active,PRIME INFUSIONS,STAFFORD,TX,FORT BEND,Community Pharmacy,Corporation
35841,2026-08-08,2026-08-08,True,False,Active,GET RELIEF RX,BILLINGS,MT,YELLOWSTONE,Non-Resident (Not Located in Texas),LLC
35879,2026-08-08,2026-08-08,True,False,Active,COMPLETE EMERGENCY CARE,SAN ANTONIO,TX,BEXAR,Freestanding EMC,LLC
35892,2026-08-08,2026-08-08,True,False,Active,BROOKS CITY BASE COMPLETE CARE,SAN ANTONIO,TX,BEXAR,Freestanding EMC,LLC
35970,2026-08-08,2026-08-08,True,False,Active,HUNT REGIONAL MEDICAL CENTER AT ROYSE CITY,ROYSE CITY,TX,ROCKWALL,Institutional (Hospital),Government
36052,2026-08-08,2026-08-08,True,False,Active,BAYLOR SCOTT & WHITE SURGICARE AT WEATHERFORD,WEATHERFORD,TX,PARKER,Institutional (Hospital),LLC
36101,2026-08-08,2026-08-08,True,False,Active,HEB PHARMACY #817,IRVING,TX,DALLAS,Community Pharmacy,Partnership
36127,2026-08-08,2026-08-08,True,False,Active,"KAY SURGICAL CENTER, LLC",EDINBURG,TX,HIDALGO,Institutional (Hospital),LLC
541,2014-11-14,2026-08-08,True,False,Active,BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER - FORT WORTH,FORT WORTH,TX,TARRANT,Institutional Sterile Compounding,Corporation
5764,2014-11-14,2026-08-08,True,False,Active,DOWNTOWN PHARMACY,WICHITA FALLS,TX,WICHITA,Community Pharmacy,Corporation
5901,2014-11-14,2026-08-08,True,False,Active,"PFENNIG'S PRESCRIPTION PHARMACY, INC.",TAYLOR,TX,WILLIAMSON,Community Pharmacy,Corporation
604,2014-11-14,2025-07-01,False,False,Active,CITY DRUG STORE OF YOAKUM INC.,YOAKUM,TX,LAVACA,Community Pharmacy,Corporation
7041,2014-11-14,2026-08-08,True,False,Active,CUERO-DEWITT COUNTY HEALTH DEPARTMENT,CUERO,TX,DE WITT,Clinic,Government
7098,2014-11-14,2026-08-08,True,False,Active,CITY OF EL PASO DEPARTMENT OF PUBLIC HEALTH,EL PASO,TX,EL PASO,Clinic,Government
7225,2014-11-14,2026-08-08,True,False,Active,PLANNED PARENTHOOD CAMERON COUNTY,BROWNSVILLE,TX,CAMERON,Clinic,Corporation
